Accession No,Primary Maker name only,Name Title,Brief Description,Media Materials,Measurement Reading Metric Imp Y display only,Department,Other Id,Collection,Current Location,Current Location Reason,Current Location Date,Current Owner,Acquisition Method,Acquisition Reason,Acquisition Date,Credit Line,Item Count
VUW.1984.3,Sofia Minson,Adam,Portrait,,,Portraits/VUW Art,308597,Portrait Collection,Philosophy Building/Room 9,Usual Location,14-Nov-00,,,,,Victoria University of Wellington Art Collection,
VUW.1934.4,Michel Tuffery,"The Bride Stripped Bare by her Bachelors, Even (The Large Glass)",Portrait,,,VUW Art,308598,Portrait Collection,Music Building/Room 39,Usual Location,19-Jun-03,,,,,"Victoria University of Wellington Art Collection Presented by the Massachusetts Institute of Technology, 1934",
VUW.1930.1,Avis Higgs,The Deluge,Portrait. Dated c.1930.,,,VUW Art,308599,Portrait Collection,Philosophy Building/Room 3,Permanent Exhibit,1-Dec-11,,,,,Victoria University of Wellington Art Collection,
VUW.1930.2,Avis Higgs,Vicissitudes,Portrait,,,VUW Art,308600,Portrait Collection,Philosophy Building/Room 42,Temporary Storage,9-Jul-10,,,,,Victoria University of Wellington Portrait Collection,
VUW.1997.3,Garth Chester,Cell (Eyes and Mirrors),Portrait,,,VUW Art,308622,Portrait Collection,Science Building/Room 12,Temporary Storage,22-Jul-04,,,,,Victoria University of Wellington Art Collection,
VUW.1966.5,Emily Schuster,Picasso's meninas,Ceramic - ribbed pot with red iron glaze,,,VUW Art,308572,Ceramic Collection/Victoria University of Wellington/WELLINGTON,Music Building/Room 44,Temporary Storage,23-Oct-07,,,,,Victoria University of Wellington Art Collection,
VUW.1973.3,Peter Siddell,A Young Lady's Adventure,Ceramic - tall cylindrical work,,,VUW Art,308573,Ceramic Collection/Victoria University of Wellington/WELLINGTON,Music Building/Room 38,Temporary Storage,5-Nov-10,,,,,Victoria University of Wellington Art Collection,
VUW.1967.8,Neil Dawson,Spanish Landscape with Mountains,"Ceramic - flagon with handle and threaded screw-on lid, possibly coil constructed",,,VUW Art,308574,Ceramic Collection/Victoria University of Wellington/WELLINGTON,Music Building/Room 13,Temporary Storage,23-Oct-07,,,,,Victoria University of Wellington Art Collection,
VUW.1986.12,Judy Millar,"Urd, Verdandi, Skuld (The Norns)",Ceramic - mobile - 13 small pots suspended from a wooden ring,,,VUW Art,308576,Ceramic Collection/Victoria University of Wellington/WELLINGTON,Art Building/Room 32,Temporary Storage,24-Jun-05,,Private/Purchase,,1986,Victoria University of Wellington Art Collection,
VUW.1967.9,Martha King,A Land Girl and the Bail Bull,Ceramic - figure holding cat,,,VUW Art,308578,Ceramic Collection/Victoria University of Wellington/WELLINGTON,Philosophy Building/Room 49,Temporary Storage,5-Nov-10,,,,,Victoria University of Wellington Art Collection,
VUW.1966.6,Martha King,I Extend My Arms,Ceramic - tall vase,,,VUW Art,308579,Ceramic Collection/Victoria University of Wellington/WELLINGTON,Music Building/Room 48,Temporary Storage,23-Oct-07,,,,,Victoria University of Wellington Art Collection,
VUW.1984.4,William Bambridge,Giovanna Baccelli,Ceramic - incised decorated vase,,,VUW Art,308580,Ceramic Collection/Victoria University of Wellington/WELLINGTON,Art Building/Room 8,Temporary Storage,23-Oct-07,,,,,Victoria University of Wellington Art Collection,
VUW.1986.14,Rhona Haszard,Totes Meer (Dead Sea),"Ceramic - incised and polished pot with Maori design, paua inlay",,,VUW Art,308581,Ceramic Collection/Victoria University of Wellington/WELLINGTON,Science Building/Room 45,Usual Location,22-May-03,,,,,Victoria University of Wellington Art Collection,
VUW.1975.5,Nigel Brown,Snow Storm - Steam-Boat off a Harbour's Mouth,Portrait,,,Loans/VUW Art,,Victoria University of Wellington Art Collection,Philosophy Building/Room 43,Temporary Exhibit,2-Dec-13,,,,,On loan to Victoria University of Wellington from Mr Paul Cotton,
VUW.1992.4,John Crichton,Monochrome White Painting,,,,Loans/VUW Art,,,Art Building/Room 25,Temporary Exhibit,23-Sep-10,VUW FOUNDATION,,,,"On loan to Victoria University Art Collection Donated to the Victoria University of Wellington Foundation, 1993, by J. Douglas Fraser O.B.E. and R. W. (Bill) Steele",
VUW.2000.2,Lyonel Grant,Seated Figure,Geometric abstraction - grey predominates,,,Loans/VUW Art,,Peter Ratner,Art Building/Room 33,Long Term Loan,19-Mar-10,,,,,On loan to Victoria University of Wellington from Peter Ratner and Carol Walters,
VUW.2000.3,Peter Alger,"Saskia, Harderwijk, Netherlands, March 16 1994",Landscape - with legs waving in air (as though planted into field),,,Loans/VUW Art,,Peter Ratner,Science Building/Room 12,Long Term Loan,19-Mar-10,,,,,On loan to Victoria University of Wellington from Peter Ratner and Carol Walters,
VUW.1999.7,Laurence Aberhart,Autumnal Cannibalism,"Geometric abstraction - two panels of differing sizes, made from billboard material (from a Telecom advertisement), coloured paper panels behind",,,Loans/VUW Art,,Bridgette Yates Collection/WELLINGTON,Philosophy Building/Room 12,Long Term Loan,23-Mar-05,,Extended Loan,,,On loan to Victoria University of Wellington Art History Department,
VUW.1975.6,Emily Schuster,Marilyn Monroe,"Landscape - building on left, surreal object floating in sky",,,Loans/VUW Art,,Victoria University of Wellington Art Collection,Science Building/Room 11,Temporary Exhibit,14-Oct-15,Brent WONG (b.1945),Extended Loan,,1975,On loan to Victoria University of Wellington from the Artist,
VUW.1999.8,Ben Webb,Whaam!,Landscape,,,VUW Art,308610,Victoria University of Wellington Art Collection,Science Building/Room 32,Temporary Storage,16-Nov-15,,Donation,,1999,"Victoria University of Wellington Art Collection Gift of Beverley Jean and Peter Gillard Morris, 1999",
VUW.1971.12,Ann Culy,Nude Woman in a Red Armchair,Sculpture - head,,,General/VUW Art,308601,,Music Building/Room 39,Usual Location,14-Nov-00,,,,,Victoria University of Wellington Gift of Professor J.C. Beaglehole,
VUW.1994.9,Emily Schuster,Dantis Amor,Ceramic - wide-bodied vase,,,VUW Art,308623,Ceramic Collection/Victoria University of Wellington/WELLINGTON,Music Building/Room 34,Usual Location,22-May-03,,,,,Victoria University of Wellington Art Collection Gift of Artist to Victoria University on the occasion of her Honourary Doctorate of Literature awarded in 1991,
VUW.2000.4,Kohai Grace,Parsifal I,Figurative - woman covered in white sheet fending off chimera,,,Loans/VUW Art,,,Philosophy Building/Room 10,Usual Location,27-Jun-03,,,,,On loan to Victoria University of Wellington from Edith and Jane Campion,
VUW.2001.1,Wayne Youle,A View from an Apartment,Drawing.  Blue ballpoint pen on paper.,,,VUW Art,314468,Victoria University of Wellington Art Collection,Music Building/Room 47,Temporary Storage,18-Aug-15,VICTORIA UNIVERSITY OF WELLINGTON,Donation,,24-Nov-00,Victoria University of Wellington Art Collection. Gift of Gordon H. Brown 2000,1
VUW.2001.2,Michael Parekowhai,Bigger Trees Near Warter Or/Ou Peinture Sur Le Motif Pour Le Nouvel Age Post-Photographique,Watercolour on coated paper,,522 x 780mm (52.2 x 78cm),General/VUW Art,314473,Victoria University of Wellington Art Collection,Art Building/Room 16,Permanent Exhibit,19-Dec-11,VICTORIA UNIVERSITY OF WELLINGTON,Donation,,1999,"Centennial gift from VUW Alumni Association of Kuala Lumpur, September 1999",
VUW.2002.1,Zena Abbott,Man with a Newspaper,"An installation of 29 objects, each wrapped in red braid.  28 of these are hanging from their own individual threads attached to red-tassle covered hooks.  One thread is dangling free, with a pair of scissors hanging from a hook nearby.",,,VUW Art,314480,Victoria University of Wellington Art Collection,Philosophy Building/Room 36,Temporary Storage,10-Aug-15,,Dealer/Purchase,Collection Policy,Feb-02,Victoria University of Wellington Art Collection,58
VUW.2002.2,Lyonel Grant,Artist's Breath,"A fisherman, with his face painted over in white, stands in a boat in the foreground while behind him appears his dispropoportionately large wife and child.  Inspired by Pierre Puvis de Chavanne's 1881 painting The Poor Fisherman, Ritchie has borrowed the muted, silvery pallette of Puvis' work.",,,VUW Art,314476,Victoria University of Wellington Art Collection,Art Building/Room 24,Permanent Exhibit,14-Sep-11,VICTORIA UNIVERSITY OF WELLINGTON,Donation,Collection Policy,24-Jan-02,"Gift of the family in memory of Gavin Dash, 1975 - 1999",
VUW.2002.3,Lisa Black,Elohim Creating Adam,"A framed sepia toned photograph of a disembodied skull and head sitting in a gravelly valley.  Both skull and head have blank speech bubbles coming from their mouths.  This work, inspired by Colin McCahon's Valley of Dry Bones, was first produced as a large-scale commission for the Rankine Brown Lift by Christina MacKay of the Architecture School in 1993.  The original was damaged and replaced by a mural as part of the refurbishment of Rankine Brown in 2002.  The work was reproduced from the original negative in April 2002.",,,VUW Art,314482,Victoria University of Wellington Art Collection,Music Building/Room 25,Temporary Storage,29-Aug-13,VICTORIA UNIVERSITY OF WELLINGTON,Commission,Replacement,1993-2002,Victoria University of Wellington Art Collection,
VUW.2001.3,William Brassington,Untitled,"A large-scale hanging 'lei'.  The four-petalled flowers are made from reflective vinyl and perspex in various sizes in bright colours such as pink, blue, orange, green and yellow.  Originally commisioned in 2001 to be displayed in the window of the Adam Art Gallery for the Botanica exhibition.",,,VUW Art,314467,Victoria University of Wellington Art Collection,Art Building/Room 11,Temporary Exhibit,19-Apr-11,VICTORIA UNIVERSITY OF WELLINGTON,Commission,Collection Policy,2001,Victoria University of Wellington Art Collection,
VUW.2002.4.1-7,Juliet Valpy,Self-Portrait,"A series of seven framed silver gelatin prints of hei tiki, produced by Pardington when she was Artist-In-Residence at UNITEC, Auckland. Edition of 3.",,"558 x 438mm (1' 9 15/16"" x 1' 5 1/4""), 875 x 735mm",VUW Art,314474,Victoria University of Wellington Art Collection,Science Building/Room 1,Short Term Loan,18-Aug-15,,,,,Victoria University of Wellington Art Collection,7
VUW.2001.4,Len Lye,Number 14,The skeleton of a spiral staircase constructed from painted aluminium suspended at an angle high above the Hunter courtyard.,,,VUW Art,314466,Victoria University of Wellington Art Collection,Music Building/Room 29,Deaccessioned,18-Jul-14,VICTORIA UNIVERSITY OF WELLINGTON,Donation,,2001,Victoria University of Wellington Art Collection. Gift of Gillian and Roderick Deane,
VUW.2002.5.1,William Brassington,Maman,"Small work on paper, one of a series of two given to the School of Music by the artist.  Gold pastel and ink patterns framed with a purple matboard.",,,School of Music/VUW Art,314477,Victoria University of Wellington Art Collection,Music Building/Room 20,Temporary Exhibit,26-Jan-11,,,,,Gift of Julian Royds to the VUW School of Music,
VUW.2002.5.2,William Brassington,Mao,"Small work on paper, one of a series of two given to the School of Music by the artist.  Gold pastel and ink patterns framed with a purple matboard.",,,School of Music/VUW Art,314478,Victoria University of Wellington Art Collection,Philosophy Building/Room 45,Temporary Exhibit,26-Jan-11,,,,,Gift of Julian Royds to the VUW School of Music,
VUW.2002.6,Laurence Aberhart,Water-Lilies,Watercolour painting of Evelyn Page,,,School of Music/VUW Art,314475,Victoria University of Wellington Art Collection,Philosophy Building/Room 11,Temporary Storage,14-Jan-04,,,,,Gift of the artist to the School of Music in 1992 in memory of Frederick and Evelyn Page,1
VUW.2002.8,Maureen Lander,The Cholmondeley Ladies,,,,School of Music/VUW Art,314470,,Music Building/Room 32,Temporary Storage,22-Jul-10,,,,,,
VUW.2002.9,Maureen Lander,Alpha-Phi,,,,School of Music/VUW Art,314471,,Science Building/Room 38,Temporary Storage,22-Jul-10,,,,,Victoria University of Wellington School of Music Art Collection,
VUW.2002.10,Manos Nathan,Light Red Over Black,Small bronze sculpture on a wooden base,,,School of Music/VUW Art,314463,Victoria University of Wellington Art Collection,Philosophy Building/Room 4,Long Term Loan,29-Nov-12,,Donation,,2002,"Victoria University of Wellington School of Music Art Collection, gift of Douglas Lilburn",
VUW.2002.11,Maureen Lander,Echo Lake,Expressionist painting,,,School of Music/VUW Art,,,Science Building/Room 28,Long Term Loan,29-Nov-12,,,,,Victoria University of Wellington Art Collection. Gift of Douglas Lilburn 2002.,
VUW.2002.12,Garth Chester,Men Shall Know Nothing of This,Tapa cloth,Bark cloth,,School of Music/VUW Art,,Victoria University of Wellington Art Collection,Science Building/Room 5,Usual Location,10-May-02,,,,,Victoria University of Wellington Art Collection,
VUW.2002.13,Peter Stichbury,"Vesuvius in Eruption, with a View over the Islands in the Bay of Naples",hand written directions for music/dance performance,,,School of Music/VUW Art,,,Science Building/Room 45,Usual Location,10-May-02,,,,,Victoria University of Wellington Art Collection Gift of the artist to the School of Music in 1983,1
VUW.2002.14.1,Peter Stichbury,Unique Forms of Continuity in Space,"Framed work on paper.  One of three in the ""Sketch for Banner"" series gifted to the School of Music by the artist in 1983. Rectangualar grid predominantly green/orange/blue/black",,,School of Music/VUW Art,,,Philosophy Building/Room 25,Temporary Storage,14-Jan-04,,,,,Victoria University of Wellington Art Collection Gift of the artist to the School of Music in 1983,1
VUW.2002.14.2,Peter Stichbury,Ibi Dabo Tibi,"Framed work on paper.  One of three in the ""Sketch for Banner"" series gifted to the School of Music by the artist in 1983.  Black and white grid/angle pattern.",,,School of Music/VUW Art,,,Art Building/Room 13,Temporary Storage,14-Jan-04,,,,,Victoria University of Wellington Art Collection Gift of the artist to the School of Music in 1983,1
VUW.2002.14.3,Peter Stichbury,The Blue Circus,"Framed work on paper.  One of three in the ""Sketch for Banner"" series gifted to the School of Music by the artist in 1983.  Grid/angle pattern, predominantly black/greens/blues with some orange/red.",,,School of Music/VUW Art,,,Science Building/Room 36,Temporary Storage,14-Jan-04,,,,,Victoria University of Wellington Art Collection Gift of the artist to the School of Music in 1983,
VUW.2002.15,Garth Chester,Liquid Crystal Environment,A predominately pink and purple work on paper framed behind non-glare glass.,,,School of Music/VUW Art,,,Art Building/Room 24,Usual Location,10-May-02,,,,,,1
VUW.1994.10,Lyonel Grant,Exploration of the Soul,"This painting occupies one entire wall of the Staff Lifts in Rankine Brown.  Oil on board, in various shades of brown, it depicts a desert/hill/mountain range.  On top of some of the ""hills"" are numbers - for example, in the top right hand corner there is a hill with 1865 on it, another in the middle top third with 586 on it, and at the bottom centre of the painting another hill appears with the numbers 66115.  There are also hills with individual numbers sitting on them, but the numbers used are always 1,5,6, or 8.  In the top left third of the painting there is a small painted banner with the words ""Nga Ingoa"" and another beneath with ""Hou"".  In the bottom right hand corner it has been signed ""Katene Cotton 1994"".  The work has a perspex cover and a handrail screwed into it on the bottom half of the painting.",Wood,1955 x 1665mm (195.5 x 166.5cm),VUW Art,,Victoria University of Wellington Art Collection,Music Building/Room 13,Temporary Storage,13-Aug-15,VICTORIA UNIVERSITY OF WELLINGTON,Commission,Collection Policy,1994,"Victoria University of Wellington Art Collection, commissioned 1993",1
VUW.1961.30,Bronwynne Cornish,Minnie Cunningham at the Old Bedford,"A young woman dressed in a red and white headscarf, black jacket and pale yellow dress sits on a rock by a lake.  Her head is in profile as she looks out over the water.",,,VUW Art,308629,,Art Building/Room 16,Temporary Exhibit,29-Sep-10,,,,,Victoria University of Wellington Hall Collection,1
VUW.2004.1,Rick Rudd,Coming Out of School,monochrome photograph of empty white Antarctic landscape with flat horizon,,"649 x 704mm (2' 1 9/16"" x 2' 3 11/16""), 400 x 475mm (1' 3 3/4"" x 1' 6 11/16"")",General/VUW Art,,Victoria University of Wellington/WELLINGTON,Philosophy Building/Room 40,Temporary Exhibit,19-Oct-15,VICTORIA UNIVERSITY OF WELLINGTON,Dealer/Purchase,Collection Policy,27-Mar-04,Victoria University of Wellington Art Collection,
VUW.2004.2,Rick Rudd,Head of a Woman (Fernande),monochrome photograph of empty white Antarctic landscape with flat horizon,,"661 x 715mm (2' 2"" x 2' 4 1/8""), 400 x 475mm (1' 3 3/4"" x 1' 6 11/16"")",General/VUW Art,,Victoria University of Wellington/WELLINGTON,Music Building/Room 29,Temporary Exhibit,19-Oct-15,VICTORIA UNIVERSITY OF WELLINGTON,Dealer/Purchase,Collection Policy,27-Mar-04,Victoria University of Wellington Art Collection,
VUW.2004.3,Rick Rudd,"The Death of Major Peirson, 6 January 1781",monochrome photograph of empty white Antarctic landscape with flat horizon,,"658 x 715mm (2' 1 7/8"" x 2' 4 1/8""), 400 x 475mm (1' 3 3/4"" x 1' 6 11/16"")",General/VUW Art,,Victoria University of Wellington/WELLINGTON,Art Building/Room 19,Temporary Exhibit,19-Oct-15,VICTORIA UNIVERSITY OF WELLINGTON,Dealer/Purchase,Collection Policy,27-Mar-04,Victoria University of Wellington Art Collection,
VUW.2004.6.1,Len Lye,The First Real Target,graphic image 'fresh watercress $2' in black and cream on red background (after a roadside sign),,,General/VUW Art,,Victoria University of Wellington/WELLINGTON,Music Building/Room 0,Temporary Exhibit,24-Feb-12,VICTORIA UNIVERSITY OF WELLINGTON,Commission,Collection Policy,2004,Victoria University of Wellington Art Collection,
VUW.2004.6.2,Lyonel Grant,Nude,"graphic image of 7 circles and 5 birds in blue, grey, black and white",,,General/VUW Art,,Victoria University of Wellington/WELLINGTON,Art Building/Room 48,Temporary Exhibit,3-Aug-15,VICTORIA UNIVERSITY OF WELLINGTON,Commission,Collection Policy,2004,Victoria University of Wellington Art Collection,
VUW.2004.6.3,William Beetham,Three Studies for Figures at the Base of a Crucifixion,graphic image of circular design in black and white on orange bacground,,,General/VUW Art,,Victoria University of Wellington/WELLINGTON,Philosophy Building/Room 49,Temporary Exhibit,24-Feb-12,VICTORIA UNIVERSITY OF WELLINGTON,Commission,Collection Policy,2004,Victoria University of Wellington Art Collection,
VUW.2004.6.4,Owen Mapp,Bottle and Fishes,graphic image of circular design in black and white on orange background,,,General/VUW Art,,Victoria University of Wellington/WELLINGTON,Art Building/Room 7,Temporary Exhibit,24-Feb-12,VICTORIA UNIVERSITY OF WELLINGTON,Commission,Collection Policy,2004,Victoria University of Wellington Art Collection,
VUW.2004.7,Karl Fritsch,Workshop,close-up photograph of a brown artificial flower,,"1487 x 1187mm (4' 10 9/16"" x 3' 10 3/4""), 1533 x 1234mm",General/VUW Art,,Victoria University of Wellington/WELLINGTON,Music Building/Room 22,Temporary Exhibit,23-Apr-13,,Dealer/Purchase,Collection Policy,Nov-04,Victoria University of Wellington Art Collection,
VUW.2004.4,Rick Rudd,Measures of Distance,colour photograph of empty white Antarctic landscape with small figure and flat horizon,,"400 x 500mm (1' 3 3/4"" x 1' 7 11/16"")",General/VUW Art,,Victoria University of Wellington/WELLINGTON,Science Building/Room 6,Temporary Exhibit,27-Oct-05,VICTORIA UNIVERSITY OF WELLINGTON,Dealer/Purchase,Collection Policy,27-Mar-04,Victoria University of Wellington Art Collection,
VUW.2004.5,Rick Rudd,Birth,colour photograph of empty white Antarctic landscape with goal posts,,"400 x 500mm (1' 3 3/4"" x 1' 7 11/16"")",General/VUW Art,,Victoria University of Wellington/WELLINGTON,Music Building/Room 3,Temporary Exhibit,27-Oct-05,VICTORIA UNIVERSITY OF WELLINGTON,Dealer/Purchase,Collection Policy,27-Mar-04,Victoria University of Wellington Art Collection,
VUW.2005.1,Juliet Peter,Loa,View over Porirua hills to Mana Island,Oil on canvas on board,2600 x 3600mm (260 x 360cm),Loans/VUW Art,,Victoria University of Wellington Students Association/WELLINGTON,Art Building/Room 16,Temporary Exhibit,21-Dec-10,"VICTORIA UNIVERSITY OF WELLINGTON STUDENT'S ASSOCIATION, VUWSA",Extended Loan,Collection Policy,21-Feb-05,Victoria University of Wellington Students' Association (on loan to Victoria University of Wellington Art Collection),
VUW.2005.2,Malcolm Harrison,The Angel Standing in the Sun,Monochrome print with human head and two plant fom rondels in symmetrical pattern,,,VUW Art,,Victoria University of Wellington/WELLINGTON,Art Building/Room 39,Temporary Storage,18-Aug-15,,Auction/Purchase,Collection Policy,Jun-05,Victoria University of Wellington Art Collection,
VUW.2005.3,Lyonel Grant,Nebuchadnezzar,Nude figure of woman with mask like face and tattoo markings to waist on inky black background,,,VUW Art,,Victoria University of Wellington/WELLINGTON,Science Building/Room 16,Temporary Exhibit,15-Sep-10,,,,,Victoria University of Wellington Art Collection,
VUW.2006.1,Indira Neville,Full Stop,,,,VUW Art,329762,Victoria University of Wellington/WELLINGTON,Music Building/Room 31,Temporary Exhibit,13-Aug-15,,Commission,Collection Policy,2005,"Victoria University of Wellington Art Collection, commissioned 2005",
VUW.2007.1,Colleen Waata Urlich,Around the Blues,,Acrylic on jute,1300 x 1300mm (130 x 130cm),VUW Art,,Victoria University of Wellington Art Collection,Art Building/Room 39,Temporary Exhibit,27-Mar-14,,Purchase,Collection Policy,,Victoria University of Wellington Art Collection,
VUW.2007.2,Colleen Waata Urlich,Claudio and Isabella,,Digital print on cotton rag paper,700 x 500mm (70 x 50cm),VUW Art,,Victoria University of Wellington Art Collection,Music Building/Room 40,Temporary Exhibit,27-Mar-14,,Purchase,Collection Policy,,Victoria University of Wellington Art Collection,
VUW.2007.3,Kobi Bosshard,The Decline of the Carthaginian Empire ...,"PDF OF INSTALL PLAN SAVED TO ARTIST FILE ON COMMON DRIVE, AND IN HARDCOPY IN AAG OFFICE FILES",Acrylic on canvas,2700 x 6500mm (270 x 650cm),VUW Art,,Victoria University of Wellington/WELLINGTON,Philosophy Building/Room 3,Temporary Storage,11-Nov-15,,Dealer/Purchase,Collection Policy,,Victoria University of Wellington Art Collection,
VUW.2007.4,Ralph Hotere,The Bath,born 1973,Chromira digital photograph,1000 x 800mm (100 x 80cm),VUW Art,344892,Victoria University of Wellington/WELLINGTON,Philosophy Building/Room 49,Temporary Exhibit,13-Aug-12,,Purchase,Collection Policy,2007,Victoria University of Wellington Art Collection,
VUW.2007.5,Ralph Hotere,Mickey Mouse,,Chromira digital photograph,1000 x 800mm (100 x 80cm),VUW Art,344895,Victoria University of Wellington/WELLINGTON,Philosophy Building/Room 41,Temporary Exhibit,13-Aug-12,,Purchase,Collection Policy,2007,Victoria University of Wellington Art Collection,
VUW.2007.6,Ralph Hotere,"The Battle of Trafalgar, as Seen from the Mizen Starboard Shrouds of the Victory",,Chromira digital photograph,1000 x 800mm (100 x 80cm),VUW Art,344893,Victoria University of Wellington/WELLINGTON,Philosophy Building/Room 18,Temporary Exhibit,13-Aug-12,,Purchase,Collection Policy,2007,Victoria University of Wellington Art Collection,
VUW.2007.7,Ralph Hotere,Covehithe Church,,Chromira digital photograph,1000 x 800mm (100 x 80cm),Loans/VUW Art,344894,Victoria University of Wellington/WELLINGTON,Science Building/Room 20,Temporary Exhibit,13-Aug-12,,Extended Loan,,2007,On permanent loan to the Victoria University of Wellington Art Collection,
VUW.2007.8,Ralph Hotere,In Girum Imus Nocte et Consumimur Igni,,Chromira digital photograph,1000 x 800mm (100 x 80cm),Loans/VUW Art,344896,Victoria University of Wellington/WELLINGTON,Music Building/Room 49,Temporary Exhibit,13-Aug-12,,Extended Loan,,2007,On permanent loan to the Victoria University of Wellington Art Collection,
VUW.2008.1,Marti Friedlander,The Entire City,,,,VUW Art,336876,Victoria University of Wellington/WELLINGTON,Art Building/Room 8,Temporary Storage,30-Jun-15,,Purchase,Collection Policy,,Victoria Univeristy of Wellington Art Collection,
VUW.2008.2,Rhona Haszard,"Gordale Scar (A View of Gordale, in the Manor of East Malham in Craven, Yorkshire, the Property of Lord Ribblesdale)",,,,VUW Art,336878,Victoria University of Wellington/WELLINGTON,Music Building/Room 18,Permanent Exhibit,1-Dec-11,,Purchase,Collection Policy,,Victoria University of Wellington Art Collection,
VUW.2008.3,Owen Mapp,Bust of a Woman,"Candyland is a 19 part work consisting of circular C-type photographuc prints each framed in a custom-made and painted frame, which form a composite portrait of the digital character TOKI. This work depicts TOKI against a purple background",,,VUW Art,336877,,Music Building/Room 23,Temporary Exhibit,26-Aug-10,,Purchase,Collection Policy,,Victoria University of Wellington Art Collection,
VUW.2008.4,Owen Mapp,After Lunch,"Candyland is a 19 part work consisting of circular C-type photographic prints each framed in a custom-made and painted frame, which form a composite portrait of the digital character TOKI. This work depicts TOKI's eye.",,,VUW Art,,,Science Building/Room 29,Temporary Exhibit,26-Aug-10,,Purchase,Collection Policy,,Victoria University of Wellington Art Collection,
VUW.2008.5,Owen Mapp,Black Bean,"Candyland is a 19 part work consisting of circular C-type photographuc prints each framed in a custom-made and painted frame, which form a composite portrait of the digital character TOKI. This work depicts TOKI's torso.",,,VUW Art,,,Music Building/Room 6,Temporary Exhibit,26-Aug-10,,Purchase,Collection Policy,,Victoria University of Wellington Art Collection,
VUWCE.2009.1,Margaret Mary Butler,The Last Judgement,,,930 x 632mm,Collection Education/VUW Art,"L106, 320183",Victoria University Wellington College of Education Collection,Music Building/Room 47,Temporary Storage,6-Aug-10,,,Collection Policy,2009,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.2,James Nairn,Study for Head of Lucian Freud,,,1000 x 1000mm,Collection Education/VUW Art,"L139, 320184",Victoria University Wellington College of Education Collection,Art Building/Room 27,Temporary Storage,13-Aug-15,,,Collection Policy,2009,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.3,Matthew McIntyre-Wilson,The Dining Room (Francis Place) I,,,,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Art Building/Room 47,Audit,9-Feb-09,,Donation,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.4,Manos Nathan,Mask XIII,"This light-weight mobile sculpture was commissioned for this stairwell space. It was a gift from ‘The Renaissance Singers of Wellington’, a group which included many teachers then working at Karori College of Education.",,,Collection Education/VUW Art,320186,Victoria University Wellington College of Education Collection,Music Building/Room 17,Audit,23-Jan-09,,Gift,,1971,"Victoria University of Wellington College of Education Art Collection, gifted by the ‘The Renaissance Singers of Wellington’",
VUWCE.2009.5,Phil Price,The Field of Waterloo,,,726 x 904mm,Collection Education/VUW Art,"L145, 320187",Victoria University Wellington College of Education Collection,Art Building/Room 44,Temporary Exhibit,22-Sep-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.6,Toss Woollaston,Mariana,,,780 x 528mm,Collection Education/VUW Art,l13,Victoria University Wellington College of Education Collection,Art Building/Room 24,Temporary Exhibit,17-Feb-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.7,John Crichton,A Sudden Gust of Wind (after Hokusai),,,678 x 573mm,Collection Education/VUW Art,C77,Victoria University Wellington College of Education Collection,Art Building/Room 34,Temporary Storage,16-Nov-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.8,Kohai Grace,"The Burning of the House of Lords and Commons, 16th October 1834",,,"430 x 310mm, 430 x 380mm",Collection Education/VUW Art,53b,Victoria University Wellington College of Education Collection,Philosophy Building/Room 22,Temporary Storage,28-Oct-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.9,Kohai Grace,O the Roast Beef of Old England ('The Gate of Calais'),,,"430 x 310mm, 430 x 380mm",Collection Education/VUW Art,53a,Victoria University Wellington College of Education Collection,Art Building/Room 22,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.10,Peter Siddell,Cumulus,,,505 x 417mm,Collection Education/VUW Art,C73,Victoria University Wellington College of Education Collection,Science Building/Room 41,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.11,Charles Blomfield,Study for a Portrait,,,281 x 350mm,Collection Education/VUW Art,L46A,Victoria University Wellington College of Education Collection,Philosophy Building/Room 26,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.12,Charles Blomfield,Dove,,,350 x 420mm,Collection Education/VUW Art,L46B,Victoria University Wellington College of Education Collection,Music Building/Room 33,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.13,Andrea Daly,The End of the Twentieth Century,,,660 x 1230mm,Collection Education/VUW Art,L118,Victoria University Wellington College of Education Collection,Art Building/Room 28,Temporary Exhibit,10-Oct-11,,,,,"Victoria University of Wellington Art Collection, formerly WellingtonCollege of Education Art Collection, accessioned 2009.",
VUWCE.2009.14,Avis Higgs,Seascape,,,475 x 475mm,Collection Education/VUW Art,67a,Victoria University Wellington College of Education Collection,Science Building/Room 11,Permanent Exhibit,22-Sep-11,,,,,Victoria University of Wellington College of Education Art Collection,
